Feature,Importance,Normalized Importance
Location Description_AIRPORT/AIRCRAFT,1.7334243,0.033670835
Location Description_PARKING LOT,1.6488851,0.03202871
"Location Description_CTA ""L"" PLATFORM",1.4255644,0.027690822
Location Description_HOUSE,1.4118383,0.0274242
Location Description_HOTEL,1.3481513,0.026187114
Location Description_PUBLIC GRAMMAR SCHOOL,1.3111198,0.025467798
Location Description_BASEMENT,1.2749535,0.024765287
Location Description_SCHOOL YARD,1.2494265,0.024269437
Location Description_RETAIL STORE,1.2423987,0.024132928
Location Description_RIVER BANK,1.2109492,0.023522036
Location Description_POLICE FACILITY,1.1978048,0.023266714
Location Description_AUTO,1.1443187,0.022227775
Location Description_OFFICE,1.1065133,0.021493426
Location Description_CHA GROUNDS,1.0944283,0.021258682
Location Description_CTA PROPERTY,1.0565362,0.020522648
Location Description_PORCH,1.0431224,0.020262092
Location Description_YARD,1.0392796,0.020187447
Location Description_HALLWAY,0.9592252,0.018632434
Location Description_BARBER SHOP/BEAUTY SALON,0.9562412,0.01857447
Location Description_LIQUOR STORE,0.92913055,0.018047862
Location Description_GARAGE,0.87252283,0.016948286
Location Description_GANGWAY,0.845747,0.01642818
Location Description_CHA PARKING LOT,0.7860717,0.015269021
Location Description_VESTIBULE,0.76482755,0.014856364
Location Description_GAS STATION DRIVE/PROP.,0.75960374,0.014754894
Location Description_MOTEL,0.7542435,0.014650774
Location Description_AIRPORT VENDING ESTABLISHMENT,0.7337505,0.014252709
Location Description_SIDEWALK,0.7325448,0.014229288
Location Description_FARM,0.69451255,0.0134905325
Location Description_SAVINGS AND LOAN,0.675739,0.013125867
"Location Description_CTA ""L"" TRAIN",0.6274907,0.012188669
Location Description_BANQUET HALL,0.6119471,0.011886744
Location Description_VACANT LOT,0.5750877,0.01117077
Location Description_ATM (AUTOMATIC TELLER MACHINE),0.54332435,0.010553784
Location Description_STAIRWELL,0.5273627,0.010243737
Location Description_CEMETARY,0.4851495,0.009423768
Location Description_AIRPORT TRANSPORTATION SYSTEM (ATS),0.4842446,0.009406191
Location Description_CONVENIENCE STORE,0.47568288,0.009239884
Location Description_APARTMENT,0.46305284,0.008994552
Location Description_STREET,0.4615398,0.008965163
Location Description_SMALL RETAIL STORE,0.45748955,0.008886489
Location Description_CTA TRACKS - RIGHT OF WAY,0.44227287,0.008590912
Location Description_HOTEL / MOTEL,0.43003678,0.008353233
Location Description_NEWSSTAND,0.41067067,0.007977057
Location Description_CTA TRAIN,0.38741478,0.007525324
Location Description_VEHICLE - COMMERCIAL: TROLLEY BUS,0.38654244,0.007508379
Location Description_DEPARTMENT STORE,0.35754305,0.0069450815
Location Description_GAS STATION,0.3553672,0.006902817
Location Description_DRUG STORE,0.3461071,0.0067229443
Location Description_KENNEL,0.34589195,0.0067187655
Location Description_TAVERN,0.33710656,0.0065481137
Location Description_CLUB,0.33121166,0.0064336085
Location Description_POLICE FACILITY / VEHICLE PARKING LOT,0.33000308,0.0064101326
Location Description_CREDIT UNION,0.27768046,0.005393794
Location Description_SCHOOL - PRIVATE BUILDING,0.26392722,0.0051266444
Location Description_DRIVEWAY,0.25290462,0.0049125366
Location Description_AIRCRAFT,0.25251976,0.0049050604
Location Description_RESTAURANT,0.252003,0.004895023
Location Description_PARKING LOT / GARAGE (NON RESIDENTIAL),0.24256806,0.004711754
Location Description_TAVERN / LIQUOR STORE,0.2412106,0.004685386
Location Description_RAILROAD PROPERTY,0.2319235,0.0045049894
Location Description_TAXICAB,0.23054343,0.004478182
Latitude,0.23014405,0.0044704247
Location Description_CTA PLATFORM,0.22450085,0.0043608085
Location Description_GROCERY FOOD STORE,0.21736233,0.0042221462
Location Description_CTA BUS STOP,0.21106897,0.0040999013
Location Description_AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,0.20423767,0.003967207
Location Description_RESIDENCE,0.19207966,0.0037310442
Location Description_HOSPITAL BUILDING / GROUNDS,0.19131581,0.0037162069
Location Description_ATHLETIC CLUB,0.18301108,0.003554892
