Feature,Mean Permutation Importance
Location Description_STREET,0.06650343032883842
Location Description_APARTMENT,0.03519990537023894
Location Description_SIDEWALK,0.021237284125857576
Latitude,0.01825289803643245
Location Description_SMALL RETAIL STORE,0.0172249822569198
Location Description_PARKING LOT / GARAGE (NON RESIDENTIAL),0.012295954577714697
Location Description_DEPARTMENT STORE,0.010242488762715874
Location Description_RESIDENCE,0.009347054648687009
Location Description_RESIDENCE - PORCH / HALLWAY,0.007675656493967347
Location Description_ALLEY,0.007004968062455641
Location Description_RESIDENCE - GARAGE,0.005541755382067659
Location Description_RESTAURANT,0.005415188076650096
Location Description_VEHICLE NON-COMMERCIAL,0.004834397918145256
Location Description_GROCERY FOOD STORE,0.004680624556422997
Longitude,0.004577714691270396
Location Description_RESIDENCE - YARD (FRONT / BACK),0.003851431275136025
Location Description_DRUG STORE,0.003804116394606094
Season_Spring,0.00360539389638041
Location Description_PARK PROPERTY,0.0031902058197302964
Location Description_GAS STATION,0.0030648213863259943
Location Description_CONVENIENCE STORE,0.002589306837000244
Location Description_SCHOOL - PUBLIC BUILDING,0.0025833924769339935
Location Description_BAR OR TAVERN,0.0024722025076886643
Location Description_SCHOOL - PUBLIC GROUNDS,0.002170570144310374
Location Description_CTA TRAIN,0.0017660279157795111
Location Description_HOSPITAL BUILDING / GROUNDS,0.0015874142417790394
Location Description_CTA BUS,0.0015199905370238854
Location Description_DRIVEWAY - RESIDENTIAL,0.0015128933049444015
Location Description_OTHER (SPECIFY),0.001441920984149514
Location Description_COMMERCIAL / BUSINESS OFFICE,0.0013271823988644349
Location Description_HOTEL / MOTEL,0.0011627631890229473
Location Description_NURSING / RETIREMENT HOME,0.0011095339484267664
Location Description_CHA APARTMENT,0.0009096285781878377
Location Description_ATHLETIC CLUB,0.0008705938017506465
Location Description_POLICE FACILITY / VEHICLE PARKING LOT,0.0008173645611544822
Location Description_VACANT LOT / LAND,0.0008067187130352482
Location Description_CTA PLATFORM,0.0007925242488762696
Season_Winter,0.0007416607523065943
Location Description_TAVERN / LIQUOR STORE,0.0006446652472202497
Location Description_CHA PARKING LOT / GROUNDS,0.0006233735509817761
Location Description_CHURCH / SYNAGOGUE / PLACE OF WORSHIP,0.0005725100544121065
Location Description_BANK,0.0004908918854979905
Location Description_CTA STATION,0.0004897090134847459
Zip Code,0.0004873432694582402
Location Description_CTA BUS STOP,0.0004648687012065278
Location Description_SCHOOL - PRIVATE GROUNDS,0.00044830849302106014
